t_s,ball_x_px,ball_y_px,setpoint_x_px,setpoint_y_px,err_x_m_window,err_y_m_window,servo1_deg,servo2_deg,servo3_deg
1.224260330200195312e-01,2.581388854980468750e+02,1.581388854980468750e+02,2.656666564941406250e+02,2.123333282470703125e+02,2.932591829448938370e-03,2.111251465976238251e-02,0.000000000000000000e+00,5.663464658948110753e+01,5.547167651213489137e+01
1.586391925811767578e-01,2.580465087890625000e+02,1.577674407958984375e+02,2.656666564941406250e+02,2.123333282470703125e+02,2.968578832224011421e-03,2.125721797347068787e-02,1.696443423176062026e+01,4.066384646237309397e+01,4.514124359448794621e+01
1.952714920043945312e-01,2.578870849609375000e+02,1.580000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,3.030685475096106529e-03,2.116662077605724335e-02,1.819048357238413161e+01,4.020271490998685238e+01,4.443731927576170904e+01
2.206964492797851562e-01,2.576478271484375000e+02,1.581695709228515625e+02,2.656666564941406250e+02,2.123333282470703125e+02,3.123893169686198235e-03,2.110056020319461823e-02,1.814315224084819533e+01,4.045892456325231734e+01,4.422410310663160260e+01
2.499821186065673828e-01,2.572488708496093750e+02,1.599264526367187500e+02,2.656666564941406250e+02,2.123333282470703125e+02,3.279314376413822174e-03,2.041613310575485229e-02,2.202483261315040863e+01,3.892527024716307693e+01,4.197207808341703839e+01
2.832148075103759766e-01,2.563360595703125000e+02,1.636639404296875000e+02,2.656666564941406250e+02,2.123333282470703125e+02,3.634918015450239182e-03,1.896012015640735626e-02,2.609582482312707086e+01,3.781249018433461373e+01,3.895043645211882222e+01
3.140709400177001953e-01,2.555657958984375000e+02,1.662180480957031250e+02,2.656666564941406250e+02,2.123333282470703125e+02,3.934989683330059052e-03,1.796511746942996979e-02,2.393091883186926339e+01,3.872181988508670258e+01,4.025164746106398894e+01
3.628461360931396484e-01,2.549827575683593750e+02,1.683965454101562500e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.162123426795005798e-03,1.711644046008586884e-02,2.173195345306326232e+01,3.915205840003396531e+01,4.203408981119071086e+01
3.944213390350341797e-01,2.546250000000000000e+02,1.685000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.301494918763637543e-03,1.707613840699195862e-02,1.889625604387039104e+01,4.051804137498236003e+01,4.343722430171247595e+01
4.264731407165527344e-01,2.550897827148437500e+02,1.686716613769531250e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.120429977774620056e-03,1.700926385819911957e-02,1.903194818813091871e+01,3.895739336716393098e+01,4.487881288813323977e+01
4.584383964538574219e-01,2.547946777343750000e+02,1.686089782714843750e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.235393833369016647e-03,1.703368313610553741e-02,1.851733194909321512e+01,4.057993337926505006e+01,4.374124693171517464e+01
4.981493949890136719e-01,2.548412170410156250e+02,1.706578521728515625e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.217263311147689819e-03,1.623550429940223694e-02,2.288285329734016571e+01,3.782527825947295241e+01,4.222646889092906974e+01
5.279381275177001953e-01,2.549375000000000000e+02,1.725000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.179754760116338730e-03,1.551785878837108612e-02,2.298937987449956921e+01,3.766540757336429124e+01,4.228076234124382893e+01
5.566003322601318359e-01,2.542564086914062500e+02,1.748644714355468750e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.445087164640426636e-03,1.459673233330249786e-02,2.425711628534430986e+01,3.850153133836064256e+01,4.014376322361459160e+01
5.874502658843994141e-01,2.530909118652343750e+02,1.770000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.899129271507263184e-03,1.376479491591453552e-02,2.412561123674665708e+01,3.960907593146529848e+01,3.913439362873150174e+01
6.183962821960449219e-01,2.526480865478515625e+02,1.781601257324218750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.071640945971012115e-03,1.331284549087285995e-02,2.208889002958814984e+01,3.930005972258804547e+01,4.152599404363172653e+01
6.499464511871337891e-01,2.529529418945312500e+02,1.794294128417968750e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.952878225594758987e-03,1.281836908310651779e-02,2.238509617630388249e+01,3.774146401359153202e+01,4.280899677109359658e+01
6.835415363311767578e-01,2.530587921142578125e+02,1.804615783691406250e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.911642521619796753e-03,1.241626869887113571e-02,2.190200487286838182e+01,3.834343706827775833e+01,4.268397992526474383e+01
7.147040367126464844e-01,2.534726867675781250e+02,1.826170806884765625e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.750401712954044342e-03,1.157655008137226105e-02,2.461443586247212068e+01,3.637047057982573506e+01,4.194170041532080973e+01
